,vteVideo game lists by platform,vteVideo game lists by platform.1
0,Amstrad,Amstrad CPC Amstrad PCW
1,Apple,Apple II Apple IIGS Macintosh iPod iOS
2,Atari,Arcade 2600 5200 7800 ST XEGS Lynx Jaguar CD
3,Bandai,Bandai LCD Solarpower Pippin WonderSwan WonderSwan Color
4,Coleco,ColecoVision Coleco Adam
5,Commodore,PET VIC-20 Commodore 64 Amiga Amiga CD32
6,Google,Android Stadia
7,Magnavox/Philips,Magnavox Odyssey Odyssey²/Videopac Philips CD-i
8,Microsoft,MS-DOS MSX Windows 3.x Windows Windows Mobile Professional Xbox Network System Link Xbox 360 0–9 and A–L M–Z Backward compatible System Link Games for Windows Games on Demand Live Windows Phone Xbox Live on Windows 8 Xbox One 0–9 and A–L M–Z Backward compatible Xbox One X enhanced Xbox Live on Windows 10 Xbox Series X/S Backward compatible
9,NEC,PC-88 PC-98 TurboGrafx-16 PC-FX
10,Nintendo,Arcade Game & Watch Mini Classics Famicom Disk System NES Game Boy Multiplayer Super NES Satellaview Super Game Boy Virtual Boy Nintendo 64 64DD Game Boy Color Game Boy Advance Nintendo e-Reader Pokémon Mini GameCube iQue Player DS A–C D–I J–P Q–Z DSiWare NA PAL Wii Balance Board Miis MotionPlus Traditional control schemes Virtual Console JP NA PAL WiiWare NA PAL 3DS 3D Classics Nintendo Network Virtual Console JP NA PAL Wii U Balance Board Miis MotionPlus Nintendo Network Virtual Console JP NA PAL Wii games for Wii U Switch 0–9 and A B C–G H–P Q–Z
11,Oculus,Oculus Rift Oculus Quest
12,Sega,Arcade SG-1000 Master System Mega Drive/Genesis Mega-CD/Sega CD 32X Game Gear Pico Saturn Dreamcast VMU
13,SNK,Neo Geo Neo Geo Pocket Neo-Geo Pocket Color Hyper Neo Geo 64
14,Sony,PlayStation 0–9 and A–L M–Z Net Yaroze PocketStation PlayStation 2 0–9 and A–K L–Z EyeToy Online PlayStation Portable PS one Classics JP NA PAL PlayStation minis PSN PlayStation 3 0–9 and A–C D–I J–P Q–Z Classics HD PS one Classics JP NA PAL PS2 Classics PlayStation Vita 0–9 and A–D E–H I–L M–O P–R S T–V W–Z Classics HD PS one Classics JP NA PAL PlayStation 4 0–9 and A–L M–Z Classics HD Free-to-play PS2 Classics VR PlayStation 5
15,Other consoles,3DO Gizmondo GP32 Intellivision N-Gage Ouya Vectrex Zeebo
16,Other computers,Acorn Electron FM Towns Kaypro PC Booter Linux OS/2 TRS-80 X68000 ZX Spectrum
17,Other platforms,Amazon Luna Arcade Browser HP3000 HTC Vive
18,Cancelled games,3DO Atari Lynx Jaguar Commodore NEC Nintendo NES/Famicom Game Boy Super NES/Super Famicom N64 Game Boy Color Game Boy Advance GameCube DS Wii 3DS Wii U Switch Sega Genesis Saturn Sharp X68000 SNK Sony PlayStation PlayStation 2 PlayStation Portable PlayStation Vita PlayStation 4
